First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills
Esha,esha@xyz.com,1,Data Visualization using Power BI,Attending,na,Email,,Students,2025,Gorakhpur,6.6,7,0-2 Lakh,25,no 
Akash,akash@xyz.com,1,Data Visualization using Power BI,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,,Students,2026,Jhansi,7.9,3,0-2 Lakh,8,no
Shubham ,shubham@xyz.com,1,Data Visualization using Power BI,Attending,dkte society's textile and engineering institute ichalkaranji,Email,,Students,2024,Kanpur,7.1,5,0-2 Lakh,19,no
Aniket,aniket@xyz.com,1,Data Visualization using Power BI,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Email,,Students,2023,Mathura,7.7,4,0-2 Lakh,17,no
Sakshi,sakshi@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",Email,,Students,2025,Varanasi,6.5,5,0-2 Lakh,9,no
SAKSHI,sakshi@xyz.com,1,Data Visualization using Power BI,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Email,,Students,2024,Almora,9.4,5,0-2 Lakh,8,no
Ajinkya,ajinkya@xyz.com,1,Data Visualization using Power BI,Attending,adhiyamaan college of engineering,Email,,Students,2023,Haora,6.7,4,0-2 Lakh,8,yes
Amey,amey@xyz.com,1,Data Visualization using Power BI,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Email | SPOC/ College Professor,,Students,2025,Kolkata,6.9,5,0-2 Lakh,9,no 
Kiran,kiran@xyz.com,1,Data Visualization using Power BI,Attending,adhiyamaan college of engineering,SPOC/ College Professor,,Students,2025,Palashi,8.3,5,0-2 Lakh,17,yes
Akash,akash@xyz.com,1,Data Visualization using Power BI,Attending,st xavier's college ,Cloud Counselage Website,,Students,2023,Silguri,9.5,3,0-2 Lakh,15,no
Gaurav,gaurav@xyz.com,1,Data Visualization using Power BI,Attending,"vidyalankar institute of technology, mumbai",Cloud Counselage Website | Others,College,Students,2026,Siuri,9.6,5,0-2 Lakh,19,yes
