First Name,Email ID,College Name,"Specify in ""Others"" (how did you come to know about this event)",Year of Graduation,City,CGPA,Experience with python (Months),Expected salary (Lac),Leadership- skills
Mayuresh,mayuresh@xyz.com,GOVERNMENT POLYTECHNIC GANDHINAGAR,College,2024,Tezpur,8.6,4,7,no
Shweta,shweta@xyz.com,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",College,2024,Srinagar,8.5,7,10,no
Priyanka ,priyanka@xyz.com,"Vishwakarma Institute of Technology, Pune",College,2023,Hugli,9.3,5,8,no
Vishal,vishal@xyz.com,"MIT Academy Of Engineering ,Alandi",College,2023,Dhule,8.2,3,7,yes
Shivani ,shivani@xyz.com,st xavier's college ,Friends,2024,Dwarka,7.9,3,17,no
Girish,girish@xyz.com,"ld college of engineering, ahmedabad, gujarat ",College,2025,Mumbai,7.5,4,7,yes
John,john@xyz.com,"vidyalankar institute of technology, mumbai",College,2026,Siliguri,7.9,5,5,no
Margaret,margaret@xyz.com,dkte society's textile and engineering institute ichalkaranji,College,2025,Orchha,6.5,5,19,no
Surya,surya@xyz.com,"vidyalankar institute of technology, mumbai",Friends,2025,Gonda,9.1,5,15,no
Patel,patel@xyz.com,silicon institute of technology,Yuva Sena/Shiv Sena,2023,Vidisha,8.7,6,7,no
Esha,esha@xyz.com,st xavier's college ,Interested,2025,Nagpur,8.9,6,21,yes
Ruchira,ruchira@xyz.com,silicon institute of technology,Attend,2025,Mumbai,7.6,7,23,no 
Derek,derek@xyz.com,"thakur institute of management studies, career development & research - [timscdr]",College,2024,Kheda,6.9,6,12,no
Louella,louella@xyz.com,"ld college of engineering, ahmedabad, gujarat ",College,2025,Rajouri,9.2,8,29,no
Leeanne,leeanne@xyz.com,chhattisgarh swami vivekananda technical university teaching department bhilai,College,2023,Gulmarg,6.5,3,12,no
