index,First Name,Email ID,CGPA,Experience with python (Months),Expected salary (Lac)
3,Pooja,pooja@xyz.com,8.7,7,8
14,Saba,saba@xyz.com,9.5,7,20
18,Shubham ,shubham@xyz.com,9.1,7,21
22,Manasi ,manasi@xyz.com,8.4,7,14
25,Harshal,harshal@xyz.com,8.3,7,14
41,Aayush,aayush@xyz.com,8.7,7,5
42,Mrunali,mrunali@xyz.com,9.5,7,21
54,Shruti,shruti@xyz.com,8.7,7,7
61,Varun,varun@xyz.com,8.1,7,15
65,Shweta,shweta@xyz.com,8.5,7,10
67,Vaishnavi,vaishnavi@xyz.com,9.4,7,25
83,Rehan,rehan@xyz.com,9.4,7,21
90,Dinesh,dinesh@xyz.com,8.3,7,19
92,Yash,yash@xyz.com,8.1,7,17
98,Kapil,kapil@xyz.com,9.1,7,24
104,shashank,shashank@xyz.com,9.5,7,23
112,Ashwini,ashwini@xyz.com,9.2,7,20
123,Chetan ,chetan@xyz.com,8.5,7,9
124,Apurva,apurva@xyz.com,8.5,7,9
127,Vaibhav,vaibhav@xyz.com,8.7,7,21
130,Aatif,aatif@xyz.com,9.3,7,21
144,Darshan ,darshan@xyz.com,9.7,7,17
149,Vedant,vedant@xyz.com,8.7,7,8
153,Priyanka,priyanka@xyz.com,9.1,7,28
157,Pooja,pooja@xyz.com,8.6,7,20
160,AKANKSHA,akanksha@xyz.com,8.1,7,8
166,Sanika,sanika@xyz.com,9.9,7,16
169,Snehal,snehal@xyz.com,8.3,7,8
200,VAIBHAVI,vaibhavi@xyz.com,8.5,7,9
204,Pooja,pooja@xyz.com,8.6,7,21
205,Sandesh,sandesh@xyz.com,8.5,7,5
212,Bhushan,bhushan@xyz.com,8.5,7,21
221,Vaishnavi,vaishnavi@xyz.com,8.3,7,8
226,Prathamesh,prathamesh@xyz.com,9.6,7,19
247,Sudarshan,sudarshan@xyz.com,8.4,7,21
251,Manasi,manasi@xyz.com,8.5,7,16
252,Manali,manali@xyz.com,9.1,7,19
254,Harshal,harshal@xyz.com,8.7,7,20
263,Rohit,rohit@xyz.com,9.9,7,24
278,Mayuri,mayuri@xyz.com,9.1,7,30
286,Mayuri ,mayuri@xyz.com,9.5,7,20
291,Mahesh,mahesh@xyz.com,8.4,7,6
308,Shravani,shravani@xyz.com,9.2,7,25
324,Shrinath,shrinath@xyz.com,8.1,7,21
366,Omkar,omkar@xyz.com,9.2,7,20
371,Himanshu ,himanshu@xyz.com,8.4,7,5
374,Vishal,vishal@xyz.com,8.5,7,13
375,Prathamesh,prathamesh@xyz.com,8.5,7,24
376,Vaishali,vaishali@xyz.com,9.1,7,17
377,Prathamesh,prathamesh@xyz.com,8.7,7,21
379,Ashwini,ashwini@xyz.com,9.3,7,20
387,Roshan,roshan@xyz.com,9.2,7,18
388,Bhagyashri ,bhagyashri@xyz.com,9.9,7,23
389,Harsh,harsh@xyz.com,9.3,7,19
399,Jitesh,jitesh@xyz.com,8.2,7,6
401,Manali ,manali@xyz.com,8.5,7,20
407,Taksh,taksh@xyz.com,8.7,7,13
423,RICKY,ricky@xyz.com,9.9,7,25
441,Apurva ,apurva@xyz.com,8.7,7,22
444,Anjali ,anjali@xyz.com,9.2,7,20
452,Anurag,anurag@xyz.com,8.7,7,12
454,Rohit,rohit@xyz.com,9.0,7,21
458,Prajwal ,prajwal@xyz.com,9.3,7,21
464,AVINASH,avinash@xyz.com,8.6,7,21
476,Sakshi,sakshi@xyz.com,8.3,7,8
480,Samarth,samarth@xyz.com,9.3,7,15
484,Tejas,tejas@xyz.com,8.1,7,8
503,Ruchita ,ruchita@xyz.com,8.4,7,8
510,mansi,mansi@xyz.com,8.5,7,9
518,Gayatri,gayatri@xyz.com,9.2,7,17
521,Vishal,vishal@xyz.com,9.2,7,28
527,SAKSHI,sakshi@xyz.com,8.3,7,7
533,Yogesh ,yogesh@xyz.com,8.7,7,7
543,Siddharth,siddharth@xyz.com,8.9,7,16
545,Shraddha,shraddha@xyz.com,9.5,7,19
554,Rohit,rohit@xyz.com,9.5,7,15
556,RAKSHA,raksha@xyz.com,8.8,7,12
569,Mohammed Sarfaraz ,mohammedsarfaraz@xyz.com,8.7,7,11
582,Abhishek,abhishek@xyz.com,8.5,7,8
589,ravi,ravi@xyz.com,8.5,7,23
590,Harshal,harshal@xyz.com,9.1,7,17
600,Pratik,pratik@xyz.com,8.1,7,8
611,Rahul,rahul@xyz.com,9.3,7,17
614,Mrunal,mrunal@xyz.com,8.3,7,11
624,Gaurav,gaurav@xyz.com,9.1,7,16
629,Shubham,shubham@xyz.com,9.2,7,21
637,Isha,isha@xyz.com,8.5,7,8
638,Shweta,shweta@xyz.com,8.5,7,8
641,Sakshi,sakshi@xyz.com,9.3,7,15
648,Paul,paul@xyz.com,9.3,7,18
659,Rutuja,rutuja@xyz.com,9.1,7,19
660,Vaishnavi,vaishnavi@xyz.com,9.5,7,21
670,Vaibhav,vaibhav@xyz.com,9.9,7,21
672,Rahul,rahul@xyz.com,9.5,7,23
714,Khushi,khushi@xyz.com,8.3,7,9
