index,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills
0,ANIKET,aniket@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Email,,Students,2024,Patna,6.7,7,7 Lakh+,6,yes
1,Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Others,College,Students,2024,Amravati,8.2,3,0-2 Lakh,7,no
2,Dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Email,,Students,2023,Kunrool,6.5,4,5-7 Lakh,7,no
4,Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Instagram | LinkedIn | Cloud Counselage Website,,Students,2024,Vijaywada,9.1,3,0-2 Lakh,10,yes
6,Durga,durga@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,,Students,2024,Guwahati,7.4,7,2-5 Lakh,6,no
7,Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2023,Nagaon,7.3,4,0-2 Lakh,7,no
8,Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Tezpur,8.6,4,0-2 Lakh,7,no
9,ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Sivasagar,9.2,3,0-2 Lakh,8,no
10,Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2024,Burani,7.8,3,0-2 Lakh,10,yes
11,Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2023,Dehri,7.9,5,0-2 Lakh,6,yes
12,Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Chapra,9.9,4,0-2 Lakh,8,no 
13,Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,LinkedIn,,Students,2024,Darbhanga,8.1,5,0-2 Lakh,11,no 
14,Saba,saba@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Gaya,9.5,7,0-2 Lakh,20,yes
15,Apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Others,,Students,2024,Haijipur,9.8,5,0-2 Lakh,5,yes
18,Shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Others,College,Students,2024,Munger,9.1,7,0-2 Lakh,21,yes
20,Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Others,College,Students,2023,Muzaffarpur,9.5,5,0-2 Lakh,13,no
22,Manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Instagram | Whatsapp | Email,,Students,2023,Siwan,8.4,7,0-2 Lakh,14,no
24,Gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2024,Bhilai,6.7,7,2-5 Lakh,20,yes
26,Jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Youtube,,Students,2024,Daman,6.3,7,2-5 Lakh,16,yes
28,Ashish,ashish@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2024,Silvassa,9.5,5,2-5 Lakh,8,no
29,Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2023,Delhi,8.5,3,2-5 Lakh,9,no
31,Shubham,shubham@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2023,Panji,8.8,4,2-5 Lakh,8,yes
33,Priya,priya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Instagram | Whatsapp,,Students,2024,Ahemdabad,7.5,4,0-2 Lakh,8,no
34,Ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Youtube | Whatsapp | Email,,Students,2023,Amreli,8.3,5,2-5 Lakh,21,no
35,Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2024,Dwarka,6.4,3,5-7 Lakh,5,no
39,Kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Facebook,,Students,2024,Morbi,7.9,7,0-2 Lakh,5,no 
41,Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Instagram | LinkedIn | Cloud Counselage Website,,Students,2023,Surat,8.7,7,0-2 Lakh,5,no
42,Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2023,Valsad,9.5,7,0-2 Lakh,21,yes
44,Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2024,Chandigarh,9.2,5,0-2 Lakh,9,no
46,ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp,,Students,2024,Gurugram,7.2,5,0-2 Lakh,13,no
47,Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Hisar,7.5,4,0-2 Lakh,11,no
49,Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Kaithal,7.5,4,0-2 Lakh,19,yes
50,Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn,,Students,2024,Karnal,6.9,3,0-2 Lakh,18,no 
52,Harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Others,Friends,Students,2023,Rohtak,7.3,3,5-7 Lakh,8,yes
53,Sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,College,Students,2023,Sirsa,6.7,5,7 Lakh+,9,no
54,Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Sonipat,8.7,7,0-2 Lakh,7,no
